order_id,placed_datetime,action,type,symbol,price,quantity,cash,executed_datetime,time_in_force,status,tx_cost,parent_id,platform_id,processed_by_portfolio,is_bracket,child_orders,manual_sale,sold_order_id,session_id
local-2131088a-bf81-4d3c-8c1c-84bfb9cca47e,2026-04-23 03:29:00.165,BUY,BRACKET,UPRO,124.831765,680,84885.6002,2026-04-23 13:32:52.816,GTC,FILLED,0.0,,488ac6a1-bfc5-4c44-9b3f-515aff420a48,False,True,"{'STOP': {'order_id': 'local-5b327612-1649-439b-82bf-f57bac7ae5ef', 'placed_datetime': datetime.datetime(2026, 4, 23, 3, 29, 0, 165000), 'action': 'SELL', 'type': 'STOP_LOSS', 'symbol': 'UPRO', 'price': 106.75, 'quantity': 680, 'cash': 0, 'executed_datetime': None, 'time_in_force': 'GTC', 'status': 'CANCELED', 'tx_cost': 0.0, 'parent_id': 'local-2131088a-bf81-4d3c-8c1c-84bfb9cca47e', 'platform_id': '171eb6e2-7350-4a50-af27-7ce4e4d88861', 'processed_by_portfolio': False, 'is_bracket': False, 'child_orders': {}}, 'PROFIT': {'order_id': 'local-a3f4faf5-04b7-4cb1-84b1-903032f0c00d', 'placed_datetime': datetime.datetime(2026, 4, 23, 3, 29, 0, 165000), 'action': 'SELL', 'type': 'PROFIT_TAKER', 'symbol': 'UPRO', 'price': 145.39, 'quantity': 680, 'cash': 0, 'executed_datetime': None, 'time_in_force': 'GTC', 'status': 'CANCELED', 'tx_cost': 0.0, 'parent_id': 'local-2131088a-bf81-4d3c-8c1c-84bfb9cca47e', 'platform_id': 'ebdd45bd-60bc-4d72-a9c5-22a1d313e09a', 'processed_by_portfolio': False, 'is_bracket': False, 'child_orders': {}}, 'MANUAL_ORDER': {'order_id': 'local-b61ffcf8-fd14-4238-8dca-854261b2ba25', 'placed_datetime': datetime.datetime(2026, 4, 23, 8, 39, 0, 856000), 'action': 'SELL', 'type': 'MARKET', 'symbol': 'UPRO', 'price': 126.0, 'quantity': 680, 'cash': 85680.0, 'executed_datetime': datetime.datetime(2026, 4, 23, 15, 39, 1, 163000), 'time_in_force': 'GTC', 'status': 'FILLED', 'tx_cost': 0.0, 'parent_id': None, 'platform_id': '6d594dcc-fbe6-4839-87c4-5a62a391f6fe', 'processed_by_portfolio': True, 'is_bracket': False, 'child_orders': {}}}",True,local-b61ffcf8-fd14-4238-8dca-854261b2ba25,live_SPY_switching_2214_1716_1722
local-6add6aac-585e-4946-8b8d-23f8779764da,2026-04-06 13:33:00.445,BUY,BRACKET,SPXU,55.319768,1811,100184.09984800001,2026-04-07 13:32:45.270,GTC,FILLED,0.0,,17214be3-9eb2-4410-aedf-dc2ce698a033,False,True,"{'STOP': {'order_id': 'local-97851bb4-2801-45c6-a948-5529499e28fc', 'placed_datetime': datetime.datetime(2026, 4, 6, 13, 33, 0, 445000), 'action': 'SELL', 'type': 'STOP_LOSS', 'symbol': 'SPXU', 'price': 47.11, 'quantity': 1811, 'cash': 85316.20999999999, 'executed_datetime': datetime.datetime(2026, 4, 14, 15, 20, 52, 824000), 'time_in_force': 'GTC', 'status': 'FILLED', 'tx_cost': 0.0, 'parent_id': 'local-6add6aac-585e-4946-8b8d-23f8779764da', 'platform_id': 'aba77a90-35b2-427d-b379-edd78ed87f49', 'processed_by_portfolio': True, 'is_bracket': False, 'child_orders': {}}, 'PROFIT': {'order_id': 'local-1378ece1-20c2-4d1e-87e0-a1500a5e129d', 'placed_datetime': datetime.datetime(2026, 4, 6, 13, 33, 0, 445000), 'action': 'SELL', 'type': 'PROFIT_TAKER', 'symbol': 'SPXU', 'price': 64.16, 'quantity': 1811, 'cash': 0, 'executed_datetime': None, 'time_in_force': 'GTC', 'status': 'CANCELED', 'tx_cost': 0.0, 'parent_id': 'local-6add6aac-585e-4946-8b8d-23f8779764da', 'platform_id': '2bd90a5b-5849-4c63-9c23-ad76cb323ba6', 'processed_by_portfolio': False, 'is_bracket': False, 'child_orders': {}}, 'MANUAL_ORDER': None}",False,local-97851bb4-2801-45c6-a948-5529499e28fc,live_SPY_switching_2214_1716_1722
local-8223265b-d523-49e4-ab35-e40807edb9bf,2026-04-23 12:46:00.305,BUY,BRACKET,UPRO,123.72,683,84500.76,2026-04-23 19:46:01.270,GTC,FILLED,0.0,,54fb1671-29a8-4149-a671-9ffe69517eaa,False,True,"{'STOP': {'order_id': 'local-73428ccb-9480-4f42-9e7e-a16c84bf69d6', 'placed_datetime': datetime.datetime(2026, 4, 23, 12, 46, 0, 305000), 'action': 'SELL', 'type': 'STOP_LOSS', 'symbol': 'UPRO', 'price': 106.55, 'quantity': 683, 'cash': 0, 'executed_datetime': None, 'time_in_force': 'GTC', 'status': 'CANCELED', 'tx_cost': 0.0, 'parent_id': 'local-8223265b-d523-49e4-ab35-e40807edb9bf', 'platform_id': '672204ca-961f-458b-805a-c0e07dd261f0', 'processed_by_portfolio': False, 'is_bracket': False, 'child_orders': {}}, 'PROFIT': {'order_id': 'local-89e90018-af92-41e6-a03f-90725f44554b', 'placed_datetime': datetime.datetime(2026, 4, 23, 12, 46, 0, 305000), 'action': 'SELL', 'type': 'PROFIT_TAKER', 'symbol': 'UPRO', 'price': 145.12, 'quantity': 683, 'cash': 0, 'executed_datetime': None, 'time_in_force': 'GTC', 'status': 'CANCELED', 'tx_cost': 0.0, 'parent_id': 'local-8223265b-d523-49e4-ab35-e40807edb9bf', 'platform_id': '75eab930-a63f-4ac9-9038-b7c16776c3a8', 'processed_by_portfolio': False, 'is_bracket': False, 'child_orders': {}}, 'MANUAL_ORDER': {'order_id': 'local-b6c6f6f9-d2c7-485e-a620-16792a4de7ea', 'placed_datetime': datetime.datetime(2026, 4, 23, 16, 31, 0, 595000), 'action': 'SELL', 'type': 'MARKET', 'symbol': 'UPRO', 'price': 125.031406, 'quantity': 683, 'cash': 85396.450298, 'executed_datetime': datetime.datetime(2026, 4, 24, 13, 33, 18, 441000), 'time_in_force': 'GTC', 'status': 'FILLED', 'tx_cost': 0.0, 'parent_id': None, 'platform_id': '43f97408-9695-489e-8499-ac26cf870970', 'processed_by_portfolio': True, 'is_bracket': False, 'child_orders': {}}}",True,local-b6c6f6f9-d2c7-485e-a620-16792a4de7ea,live_SPY_switching_2214_1716_1722
local-8a5ee069-677b-4259-a6cf-1b15b4a8ba28,2026-04-23 11:51:00.502,SELL,MARKET,SPXU,43.965695,1923,84546.031485,2026-04-23 18:51:02.411,GTC,FILLED,0.0,,acd110d0-b993-458c-8ede-4cbf12f4d9de,True,False,{},,,live_SPY_switching_2214_1716_1722
local-97851bb4-2801-45c6-a948-5529499e28fc,2026-04-06 13:33:00.445,SELL,STOP_LOSS,SPXU,47.11,1811,85316.20999999999,2026-04-14 15:20:52.824,GTC,FILLED,0.0,local-6add6aac-585e-4946-8b8d-23f8779764da,aba77a90-35b2-427d-b379-edd78ed87f49,True,False,{},,,live_SPY_switching_2214_1716_1722
local-b61ffcf8-fd14-4238-8dca-854261b2ba25,2026-04-23 08:39:00.856,SELL,MARKET,UPRO,126.0,680,85680.0,2026-04-23 15:39:01.163,GTC,FILLED,0.0,,6d594dcc-fbe6-4839-87c4-5a62a391f6fe,True,False,{},,,live_SPY_switching_2214_1716_1722
local-b6c6f6f9-d2c7-485e-a620-16792a4de7ea,2026-04-23 16:31:00.595,SELL,MARKET,UPRO,125.031406,683,85396.450298,2026-04-24 13:33:18.441,GTC,FILLED,0.0,,43f97408-9695-489e-8499-ac26cf870970,True,False,{},,,live_SPY_switching_2214_1716_1722
local-c2d3b535-9f6e-45ca-ad51-dfa480d39d2d,2026-04-23 10:59:00.933,BUY,BRACKET,SPXU,44.24,1923,85073.52,2026-04-23 17:59:02.699,GTC,FILLED,0.0,,77d2cb0a-2f44-468e-8301-fb5c791fd23c,False,True,"{'STOP': {'order_id': 'local-cb2edc82-efbe-4ef7-981e-22dcd57893ee', 'placed_datetime': datetime.datetime(2026, 4, 23, 10, 59, 0, 933000), 'action': 'SELL', 'type': 'STOP_LOSS', 'symbol': 'SPXU', 'price': 38.13, 'quantity': 1923, 'cash': 0, 'executed_datetime': None, 'time_in_force': 'GTC', 'status': 'CANCELED', 'tx_cost': 0.0, 'parent_id': 'local-c2d3b535-9f6e-45ca-ad51-dfa480d39d2d', 'platform_id': 'ce5360fd-ec19-4095-a0ab-a49487add027', 'processed_by_portfolio': False, 'is_bracket': False, 'child_orders': {}}, 'PROFIT': {'order_id': 'local-0ba86e08-b535-482a-a8c5-9632c6677214', 'placed_datetime': datetime.datetime(2026, 4, 23, 10, 59, 0, 933000), 'action': 'SELL', 'type': 'PROFIT_TAKER', 'symbol': 'SPXU', 'price': 51.93, 'quantity': 1923, 'cash': 0, 'executed_datetime': None, 'time_in_force': 'GTC', 'status': 'CANCELED', 'tx_cost': 0.0, 'parent_id': 'local-c2d3b535-9f6e-45ca-ad51-dfa480d39d2d', 'platform_id': 'cb84285f-c726-43f9-93e3-8b33c890c0cf', 'processed_by_portfolio': False, 'is_bracket': False, 'child_orders': {}}, 'MANUAL_ORDER': {'order_id': 'local-8a5ee069-677b-4259-a6cf-1b15b4a8ba28', 'placed_datetime': datetime.datetime(2026, 4, 23, 11, 51, 0, 502000), 'action': 'SELL', 'type': 'MARKET', 'symbol': 'SPXU', 'price': 43.965695, 'quantity': 1923, 'cash': 84546.031485, 'executed_datetime': datetime.datetime(2026, 4, 23, 18, 51, 2, 411000), 'time_in_force': 'GTC', 'status': 'FILLED', 'tx_cost': 0.0, 'parent_id': None, 'platform_id': 'acd110d0-b993-458c-8ede-4cbf12f4d9de', 'processed_by_portfolio': True, 'is_bracket': False, 'child_orders': {}}}",True,local-8a5ee069-677b-4259-a6cf-1b15b4a8ba28,live_SPY_switching_2214_1716_1722
