session_id,timestamp,cash,total_value,positions
live_SPY_switching_2214_1716_1722,2026-04-06 18:08:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:09:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:10:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:11:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:12:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:13:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:14:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:15:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:16:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:17:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:18:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:19:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:20:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:21:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:22:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:23:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:24:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:25:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:26:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:27:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:28:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:29:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:30:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:31:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:32:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:33:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:34:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:35:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:36:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:37:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:38:00+00:00,100000.0,100000.0,{}
live_SPY_switching_2214_1716_1722,2026-04-06 18:39:00+00:00,100000.0,100000.0,{}
