timestamp,signal_type,symbol,signal_strength,signal_rsi.period,signal_rsi.rsi,signal_rsi.avg_gain,signal_rsi.avg_loss,signal_rsi.rs,signal_macd.slow_period,signal_macd.fast_period,signal_macd.signal_period,signal_macd.slow_ema,signal_macd.fast_ema,signal_macd.macd,signal_macd.signal,signal_macd.histogram,signal_macd.last_macd,signal_macd_last.slow_period,signal_macd_last.fast_period,signal_macd_last.signal_period,signal_macd_last.slow_ema,signal_macd_last.fast_ema,signal_macd_last.macd,signal_macd_last.signal,signal_macd_last.histogram,signal_macd_last.last_macd,order_id,order_type,order_status,is_bracket_order,entry_price,entry_quantity,entry_cost,entry_tx_cost,entry_total,entry_datetime,has_exit,exit_price,exit_quantity,exit_proceeds,exit_tx_cost,exit_total,exit_datetime,exit_type,exit_reason,net_pnl,net_pnl_pct,is_win,duration_seconds,duration_hours,duration_days,entry_hour,entry_day_of_week,exit_hour,exit_day_of_week,price_change_pct,total_return,stop_loss_price,profit_target_price,risk_pct,reward_pct,risk_reward_ratio,macd_slope,macd_signal_slope,macd_histogram_slope,macd_divergence,macd_momentum,macd_histogram_squared,rsi_distance_neutral,rsi_oversold,rsi_overbought,rsi_strength,rsi_squared,macd_rsi_aligned,combined_momentum,macd_rsi_strength_product,strength_weighted_rsi,strength_weighted_macd,high_strength_signal,strength_squared,momentum_convergence,ema_spread,ema_ratio,correlation_score,model_score,importance_score,calculated_strength,signal_quality,strength_diff
2022-01-06 00:55:00+00:00,BUY,UPRO,100,14,51.3761649307407,,,,117,54,40,0,0,-1.055195856346728,-1.0561327040181512,0.0009368476714231,"MACD(slow_period=117, fast_period=54, signal_period=40, slow_ema=0, fast_ema=0, macd=-1.0658364900240258, signal=-1.0561807474884806, histogram=-0.009655742535545242, last_macd=None)",117,54,40,0,0,-1.0658364900240258,-1.0561807474884806,-0.0096557425355452,,local-54c86fd2-002a-472d-8795-043539c00517,BRACKET,FILLED,True,73.36,0,953.68,0.0,953.68,2022-01-06 00:55:00+00:00,True,72.43,13.0,941.59,0.0,941.59,2022-01-06 15:00:00+00:00,STOP_LOSS,STOP_LOSS,-12.089999999999804,-1.2677208287895103,False,50700.0,14.083333333333334,0.5868055555555556,0.0,Thursday,15.0,Thursday,-1.267720828789521,941.59,72.43,74.0936,1.267720828789521,0.999999999999994,0.7888172043010768,0.010640633677297728,4.8043470329384164e-05,0.0105925902069683,0.0009368476714231022,0.0009368476714231,8.776835594508848e-07,1.3761649307406998,0,0,1.3761649307406998,1.893829916600555,1,0.0004840289569068623,0.0012892569108585562,2.7523298614813996,0.09368476714231,1,10000,1.002862754933086,0,0.0,13.1048227227174,,15.518950333583426,14.311886528150414,Very Weak (0-25),-85.68811347184959
2022-01-07 00:15:00+00:00,BUY,UPRO,100,14,65.75664094132338,,,,117,54,40,0,0,0.0413662990105905,0.0379327538294324,0.003433545181158,"MACD(slow_period=117, fast_period=54, signal_period=40, slow_ema=0, fast_ema=0, macd=0.03577894709233931, signal=0.03775667458937311, histogram=-0.0019777274970338016, last_macd=None)",117,54,40,0,0,0.0357789470923393,0.0377566745893731,-0.0019777274970338,,local-db96795d-0c83-422f-a78c-0069c118b202,BRACKET,FILLED,True,73.56,0,956.28,0.0,956.28,2022-01-07 00:15:00+00:00,True,72.6,13.0,943.8,0.0,943.8,2022-01-07 09:05:00+00:00,STOP_LOSS,STOP_LOSS,-12.480000000000018,-1.3050570962479628,False,31800.0,8.833333333333334,0.3680555555555556,0.0,Friday,9.0,Friday,-1.3050570962479715,943.8,72.6,74.29560000000001,1.3050570962479715,1.0000000000000069,0.7662499999999989,0.005587351918251202,0.00017607924005929448,0.0054112726781917996,0.0034335451811581055,0.003433545181158,1.1789232511053324e-05,15.756640941323383,0,0,15.756640941323383,248.27173375378823,1,0.020311326200024977,0.05410113857531776,31.513281882646766,0.34335451811580003,1,10000,0.20746424730398594,0,0.0,15.826327676879423,,72.90808432232997,44.36720599960469,Weak (25-50),-55.63279400039531
2022-01-07 18:25:00+00:00,BUY,UPRO,100,14,52.28409931149305,,,,117,54,40,0,0,-0.2278034900190846,-0.2305982838150978,0.0027947937960132,"MACD(slow_period=117, fast_period=54, signal_period=40, slow_ema=0, fast_ema=0, macd=-0.23157514544459445, signal=-0.23074160657386775, histogram=-0.0008335388707267077, last_macd=None)",117,54,40,0,0,-0.2315751454445944,-0.2307416065738677,-0.0008335388707267,,local-8d50a21c-51e2-4318-9630-809f46edea3f,BRACKET,FILLED,True,72.49,0,942.37,0.0,942.37,2022-01-07 18:25:00+00:00,True,71.62,13.0,931.06,0.0,931.06,2022-01-10 11:25:00+00:00,STOP_LOSS,STOP_LOSS,-11.309999999999832,-1.2001655400744753,False,234000.0,65.0,2.708333333333333,18.0,Friday,11.0,Monday,-1.20016554007448,931.06,71.62,73.2149,1.20016554007448,1.000000000000007,0.8332183908046129,0.0037716554255098067,0.00014332275876988154,0.0036283326667399,0.0027947937960132174,0.0027947937960132,7.810872362233872e-06,2.2840993114930512,0,0,2.2840993114930512,5.217109664763031,1,0.00239660592869745,0.006383586585238801,4.5681986229861025,0.27947937960132,1,10000,0.9584039493002772,0,0.0,21.598432181991996,,65.98197941338529,43.79020579768864,Weak (25-50),-56.20979420231136
2022-01-10 18:25:00+00:00,BUY,UPRO,100,14,63.86675167105212,,,,117,54,40,0,0,-0.9464986965474368,-0.9492438251626626,0.0027451286152259,"MACD(slow_period=117, fast_period=54, signal_period=40, slow_ema=0, fast_ema=0, macd=-0.9692160715811156, signal=-0.9493846009890844, histogram=-0.019831470592031164, last_macd=None)",117,54,40,0,0,-0.9692160715811156,-0.9493846009890844,-0.0198314705920311,,local-2cc8f018-568f-49dd-a380-520441969f7b,BRACKET,FILLED,True,69.44,0,902.72,0.0,902.72,2022-01-10 18:25:00+00:00,True,70.34,13.0,914.42,0.0,914.42,2022-01-10 19:05:00+00:00,PROFIT_TAKER,PROFIT_TARGET,11.700000000000044,1.296082949308761,True,2400.0,0.6666666666666666,0.0277777777777777,18.0,Monday,19.0,Monday,1.296082949308764,914.42,68.7456,70.34,1.0000000000000024,1.296082949308764,1.296082949308761,0.022717375033678766,0.00014077582642180175,0.022576599207257003,0.0027451286152258003,0.0027451286152259,7.535731114132067e-06,13.866751671052121,0,0,13.866751671052121,192.2868019066268,1,0.014291220203002847,0.038066016812436744,27.733503342104243,0.27451286152259,1,10000,2.049245281260724,0,0.0,91.5395555969235,,7.696578730985679,49.61806716395459,Weak (25-50),-50.38193283604541
2022-01-11 17:40:00+00:00,BUY,UPRO,100,14,58.60184679584709,,,,117,54,40,0,0,0.2501558052784958,0.2492441963851198,0.0009116088933759,"MACD(slow_period=117, fast_period=54, signal_period=40, slow_ema=0, fast_ema=0, macd=0.24356471792850698, signal=0.24919744721110051, histogram=-0.005632729282593535, last_macd=None)",117,54,40,0,0,0.2435647179285069,0.2491974472111005,-0.0056327292825935,,local-4f898770-1e8a-46d5-a8e0-bf46fa160026,BRACKET,FILLED,True,72.44,0,941.72,0.0,941.72,2022-01-11 17:40:00+00:00,True,73.26,13.0,952.38,0.0,952.38,2022-01-11 19:50:00+00:00,PROFIT_TAKER,PROFIT_TARGET,10.660000000000082,1.1319712865820075,True,7800.0,2.1666666666666665,0.0902777777777777,17.0,Tuesday,19.0,Tuesday,1.1319712865820093,952.38,71.7156,73.26,1.0000000000000038,1.1319712865820093,1.131971286582005,0.0065910873499888945,4.674917401931156e-05,0.0065443381759694,0.0009116088933759925,0.0009116088933759,8.31030774482033e-07,8.601846795847088,0,0,8.601846795847088,73.99176829922482,1,0.002943961543162593,0.007841520038551195,17.203693591694176,0.09116088933759,1,10000,1.480709141795125,0,0.0,81.81596386386437,,70.0257931339149,75.92087849888964,Strong (75-100),-24.079121501110365
2022-01-13 10:20:00+00:00,BUY,UPRO,100,14,51.83976476149004,,,,117,54,40,0,0,-0.0129763669506672,-0.0131913758301957,0.0002150088795284,"MACD(slow_period=117, fast_period=54, signal_period=40, slow_ema=0, fast_ema=0, macd=-0.013633989379087552, signal=-0.013202401926581805, histogram=-0.00043158745250574705, last_macd=None)",117,54,40,0,0,-0.0136339893790875,-0.0132024019265818,-0.0004315874525057,,local-35990b54-7fb8-4eda-bf8a-ba143fedf267,BRACKET,FILLED,True,74.21,0,964.73,0.0,964.73,2022-01-13 10:20:00+00:00,True,72.87,13.0,947.31,0.0,947.31,2022-01-13 17:20:00+00:00,STOP_LOSS,STOP_LOSS,-17.419999999999845,-1.8056865651529284,False,25200.0,7.0,0.2916666666666667,10.0,Thursday,17.0,Thursday,-1.80568656515293,947.31,72.87,74.95209999999999,1.80568656515293,0.9999999999999912,0.5538059701492533,0.0006576224284202993,1.102609638609954e-05,0.0006465963320341,0.00021500887952849955,0.0002150088795284,4.622881827605802e-08,1.8397647614900379,0,0,1.8397647614900379,3.384734377620496,1,0.0001485082457737994,0.0003955657599638071,3.6795295229800757,0.021500887952839998,1,10000,1.5393198035006017,0,0.0,5.379944078129397,,85.62517474027099,45.502559409200195,Weak (25-50),-54.497440590799805
2022-01-14 00:25:00+00:00,BUY,UPRO,100,14,48.9912521316024,,,,117,54,40,0,0,-0.8355699740772877,-0.8363036293150202,0.0007336552377325,"MACD(slow_period=117, fast_period=54, signal_period=40, slow_ema=0, fast_ema=0, macd=-0.842897015201828, signal=-0.8363412526605449, histogram=-0.0065557625412830944, last_macd=None)",117,54,40,0,0,-0.842897015201828,-0.8363412526605449,-0.006555762541283,,local-cf3ebd27-813b-423d-b6ba-3e9a99568218,BRACKET,FILLED,True,71.19,0,925.47,0.0,925.47,2022-01-14 00:25:00+00:00,True,70.21,13.0,912.73,0.0,912.73,2022-01-14 12:45:00+00:00,STOP_LOSS,STOP_LOSS,-12.740000000000125,-1.376597836774841,False,44400.0,12.333333333333334,0.5138888888888888,0.0,Friday,12.0,Friday,-1.3765978367748335,912.73,70.21,71.9019,1.3765978367748335,1.0,0.7264285714285685,0.007327041124540301,3.7623345524706586e-05,0.0072894177790155,0.0007336552377325001,0.0007336552377325,5.38250007852331e-07,1.0087478683975988,0,0,-1.0087478683975988,1.0175722619966994,0,-0.0002778475223192023,0.0007400731572013929,-2.0174957367951976,0.07336552377325,1,10000,0.2054634311147696,0,0.0,10.795132489515803,,22.388605143785725,16.591868816650763,Very Weak (0-25),-83.40813118334924
2022-01-14 14:55:00+00:00,BUY,UPRO,100,14,68.00588781407433,,,,117,54,40,0,0,-0.7543053895372509,-0.7603337107991304,0.0060283212618794,"MACD(slow_period=117, fast_period=54, signal_period=40, slow_ema=0, fast_ema=0, macd=-0.7766930751522096, signal=-0.7606428554792267, histogram=-0.016050219672982924, last_macd=None)",117,54,40,0,0,-0.7766930751522096,-0.7606428554792267,-0.0160502196729829,,local-4b58780a-a2bc-47bb-b62b-94f8a69e8ac6,BRACKET,FILLED,True,70.749,0,919.737,0.0,919.737,2022-01-14 14:55:00+00:00,True,69.71,13.0,906.23,0.0,906.23,2022-01-14 16:10:00+00:00,STOP_LOSS,STOP_LOSS,-13.507000000000062,-1.4685719939504511,False,4500.0,1.25,0.0520833333333333,14.0,Friday,16.0,Friday,-1.468571993950447,906.23,69.71,71.45649,1.468571993950447,1.00000000000001,0.6809335899903811,0.02238768561495874,0.00030914468009635154,0.0220785409348623,0.006028321261879466,0.0060283212618794,3.6340657236427236e-05,18.005887814074327,0,0,18.005887814074327,324.21199597303035,1,0.04075142544955785,0.10854527634859945,36.011775628148655,0.60283212618794,1,10000,2.0077356010269005,0,0.0,12.151885069740374,,8.09438485996925,10.123134964854811,Very Weak (0-25),-89.87686503514519
2022-01-18 18:20:00+00:00,BUY,UPRO,100,14,43.22321585648644,,,,117,54,40,0,0,-0.7311394166574985,-0.732101799622205,0.0009623829647065,"MACD(slow_period=117, fast_period=54, signal_period=40, slow_ema=0, fast_ema=0, macd=-0.732827660794598, signal=-0.732151152594754, histogram=-0.0006765081998439948, last_macd=None)",117,54,40,0,0,-0.732827660794598,-0.732151152594754,-0.0006765081998439,,local-0a96b7d3-4d42-4b18-aae7-111b180922d1,BRACKET,FILLED,True,67.445,0,876.7849999999999,0.0,876.7849999999999,2022-01-18 18:20:00+00:00,True,68.15,13.0,885.95,0.0,885.95,2022-01-18 19:40:00+00:00,PROFIT_TAKER,PROFIT_TARGET,9.165000000000193,1.0452961672474088,True,4800.0,1.3333333333333333,0.0555555555555555,18.0,Tuesday,19.0,Tuesday,1.0452961672474057,885.95,66.77054999999999,68.15,1.0000000000000109,1.0452961672474057,1.0452961672473942,0.0016882441370995593,4.9352972549043805e-05,0.0016388911645504002,0.0009623829647065207,0.0009623829647065,9.261809707572725e-07,6.776784143513559,0,0,-6.776784143513559,45.92480332777681,0,-0.0024485188701444224,0.006521861615210579,-13.553568287027119,0.09623829647065,1,10000,0.6621598937231141,0,0.0,70.68915806411434,,53.21844172418307,61.9537998941487,Moderate (50-75),-38.0462001058513
2022-01-20 09:05:00+00:00,BUY,UPRO,100,14,64.42645687744589,,,,117,54,40,0,0,-0.6434421196019571,-0.6526899802658167,0.0092478606638596,"MACD(slow_period=117, fast_period=54, signal_period=40, slow_ema=0, fast_ema=0, macd=-0.6583896021695352, signal=-0.65316422953063, histogram=-0.005225372638905212, last_macd=None)",117,54,40,0,0,-0.6583896021695352,-0.65316422953063,-0.0052253726389052,,local-5738ce17-fa00-4e38-af1d-49d272907d55,BRACKET,FILLED,True,65.9,0,922.6,0.0,922.6,2022-01-20 09:05:00+00:00,True,66.8893,14.0,936.4502,0.0,936.4502,2022-01-20 14:45:00+00:00,PROFIT_TAKER,PROFIT_TARGET,13.850199999999973,1.501213960546279,True,20400.0,5.666666666666667,0.2361111111111111,9.0,Thursday,14.0,Thursday,1.5012139605462822,936.4502,65.241,66.8893,1.000000000000009,1.5012139605462822,1.5012139605462684,0.014947482567578163,0.0004742492648133201,0.0144732333027648,0.00924786066385963,0.0092478606638596,8.552292685816171e-05,14.426456877445887,0,0,14.426456877445887,208.12265803680572,1,0.050087901362103594,0.1334138630757986,28.852913754891773,0.92478606638596,1,10000,1.3548174620813604,0,0.0,94.57490322810126,,22.769828458876244,58.672365843488755,Moderate (50-75),-41.327634156511245
